Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,5.840000,5.850000,5.750000,5.790000,5.411257,1608641
2019-01-02,5.840000,5.905000,5.750000,5.760000,5.383220,3439023
2019-01-03,5.750000,5.840000,5.700000,5.740000,5.364528,3122836
2019-01-04,5.650000,5.720000,5.540000,5.690000,5.317799,4405253
2019-01-07,5.670000,5.830000,5.660000,5.790000,5.411257,2960672
2019-01-08,5.820000,5.910000,5.780000,5.900000,5.514062,4807112
2019-01-09,5.940000,6.130000,5.900000,6.110000,5.710325,8926783
2019-01-10,6.060000,6.085000,5.990000,6.070000,5.672942,10143903
2019-01-11,6.020000,6.050000,5.890000,5.910000,5.523407,5764791
2019-01-14,5.900000,5.980000,5.865000,5.920000,5.532753,3313493
2019-01-15,5.900000,5.970000,5.900000,5.960000,5.570137,4028139
2019-01-16,5.910000,6.010000,5.860000,6.000000,5.607521,4934951
2019-01-17,6.050000,6.080000,5.990000,6.050000,5.654250,2999024
2019-01-18,6.050000,6.155000,6.050000,6.150000,5.747708,3494462
2019-01-21,6.150000,6.180000,6.070000,6.080000,5.682288,3114122
2019-01-22,6.080000,6.170000,6.070000,6.120000,5.719671,2498670
2019-01-23,6.150000,6.230000,6.100000,6.120000,5.719671,4950215
2019-01-24,6.100000,6.120000,5.980000,6.120000,5.719671,4601396
2019-01-25,6.110000,6.120000,5.960000,5.990000,5.598175,5710876
2019-01-29,5.950000,5.950000,5.860000,5.890000,5.504716,4647293
2019-01-30,5.600000,5.630000,5.550000,5.590000,5.224340,15180415
2019-01-31,5.500000,5.550000,5.425000,5.440000,5.084152,24868590
2019-02-01,5.440000,5.470000,5.305000,5.320000,4.972002,7875895
2019-02-04,5.360000,5.425000,5.325000,5.400000,5.046769,7534660
2019-02-05,5.420000,5.480000,5.380000,5.410000,5.056114,14042252
2019-02-06,5.470000,5.635000,5.450000,5.630000,5.261724,7999793
2019-02-07,5.650000,5.800000,5.630000,5.700000,5.327144,5832277
2019-02-08,5.590000,5.670000,5.570000,5.630000,5.261724,3639394
2019-02-11,5.670000,5.680000,5.550000,5.650000,5.280416,3401575
2019-02-12,5.620000,5.715000,5.540000,5.550000,5.186957,8297950
2019-02-13,5.660000,5.770000,5.640000,5.740000,5.364528,13137065
2019-02-14,5.760000,5.830000,5.690000,5.700000,5.327144,5806192
2019-02-15,5.740000,5.760000,5.700000,5.730000,5.355182,4579621
2019-02-18,5.760000,5.765000,5.710000,5.730000,5.355182,3884852
2019-02-19,5.740000,5.800000,5.740000,5.760000,5.383220,4013962
2019-02-20,5.800000,5.835000,5.620000,5.660000,5.289761,4347392
2019-02-21,5.490000,5.805000,5.460000,5.770000,5.392566,19152469
2019-02-22,5.770000,5.880000,5.670000,5.760000,5.383220,7782849
2019-02-25,5.740000,5.800000,5.645000,5.690000,5.317799,8390107
2019-02-26,5.630000,5.650000,5.530000,5.610000,5.243032,5732357
2019-02-27,5.670000,5.770000,5.610000,5.740000,5.364528,5411331
2019-02-28,5.740000,5.750000,5.670000,5.730000,5.355182,10285599
